,text,agg,conds
2446,what district has dan crane as incumbent,0,1
2447,in which district is robert w. edgar the incumbent,0,1
2448,to which party does robert w. edgar belong,0,1
2449,what district is incumbent jack hightower from,0,1
2450,what year were the election results tom loeffler (r) 80.6% joe sullivan (d) 19.4%,2,1
2451,what incumbent won the district of texas 22,0,1
2452,who's the incumbent of the louisiana 1 district,0,1
2453,who were the candidates in the louisiana 4 district,0,1
2454,who's the incumbent in the district first elected in 1976,0,1
2455,what's the incumbent with district being massachusetts 2,0,1
2456,what's the party with candidates being silvio conte (r) unopposed,0,1
2457,what's the first elected with incumbent being joseph d. early,0,1
2458,who is the the incumbent with dbeingtrict being massachusetts 2,0,1
2459,what's the party with dbeingtrict being massachusetts 3,0,1
2460,how many candidates won the election in the district whose incumbent is bud shuster,3,1
2461,what are the candidates in the district whose incumbent is gus yatron,0,1
2462,what's the winning party in the pennsylvania 6 district,0,1
2463,what candidate is a member of the republican party,0,1
2464,what district is ray musto the incumbent of,0,1
2465,how many parties does the incumbent donald a. bailey a member of,3,1
2466,what was the outcome of the election in pennsylvania 6 district,0,1
2467,where was al gore elected,0,1
2468,election results of 1976,0,1
2469,what was the incumbent for missouri 1,0,1
2470,what was the result of the election when someone was first elected in 1960,0,1
2471,what year was incumbent phil crane first elected,0,1
2472,what candidates were featured in the 1974 election,0,1
2473,what year was jerry huckaby first elected,0,1
2474,what other cadidate ran against dave treen,0,1
2475,what year was the earliest first elected,2,0
2476,what district did dave treen serve,0,1
2477,how many sitting politicians were originally elected in 1972,3,1
2478,"in the georgia 6 district, what is the elected party",0,1
2479,"in the race involving billy lee evans as the seated representative, was he elected again",0,1
2480,"which district has ronald ""bo"" ginn as the seated representative",0,1
2481,how many parties are there in races involving dawson mathis,3,1
2482,which district is republican,0,1
2483,name the result when the incumbent was george h. mahon,0,1
2484,what was the incumbent of texas 3,0,1
2485,what was the incumbent for texas 19,0,1
2486,which district has candidates is dick gephardt (d) 81.9% lee buchschacher (r) 18.1%,0,1
2487,what is the result for the district missouri 2,0,1
2488,when was the first elected for district missouri 7,2,1
2489,when was the earliest first election,2,0
2490,how many times was the candidates dick gephardt (d) 81.9% lee buchschacher (r) 18.1%,3,1
2491,what district did s. william green belong to,0,1
2492,what district did the democratic party incumbent stephen j. solarz get first elected to in 1974,0,3
2493,when was stephen j. solarz first elected,2,1
2494,who were the candidates when shirley chisholm was the incumbent,0,1
2495,what is the district that has bob wilson as an incumbent,0,1
2496,how many outcomes were there in the elections in california 38,3,1
2497,what district is charles h. wilson the incumbent of,0,1
2498,what party was the winning one in the elections in the california 30 district,0,1
2499,how many times did an election feature the result robert l. leggett (d) 50.2% albert dehr (r) 49.8%,3,1
2500,what year was incumbent mark w. hannaford elected,2,1
2501,what is the district where the incumbent is richard kelly,0,1
2502,what is the result where the candidates is robert l. f. sikes (d) unopposed,0,1
2503,"who is the incumbent where the candidates is william v. chappell, jr. (d) unopposed",0,1
2504,what is the district where the incumbent is james a. haley,0,1
2505,what is the district where the incumbent is richard kelly,0,1
2506,who are the candidates where the district is florida 8,0,1
2507,what year was the first elected incumbant sidney r. yates,0,1
2508,how many incumbents are there in district louisiana 5,3,1
2509,how many incumbents resulted in a lost renomination republican gain,3,1
2510,in which district is the incumbent john breaux,0,1
2511,what year was otto passman (d) unopposed first elected,1,1
2512,what were the results when the incumbent was john breaux,0,1
2513,name the candidates for texas 1,0,1
2514,name the incumbent for district texas 12,0,1
2515,name the candidates for texas 20,0,1
2516,what is the district with the candidates edward boland (d) unopposed,0,1
2517,what is the party where the candidates are edward boland (d) unopposed,0,1
2518,what is the party where the incumbent is edward boland,0,1
2519,how many times was the candidates paul tsongas (d) 60.6% paul w. cronin (r) 39.4%,3,1
2520,list all candidates in elections where the incumbent politician is goodloe byron.,0,1
2521,how many instances are there of party in the situation where robert bauman is the incumbent politician,3,1
2522,what is the party of the election in which robert bauman is the incumbent,0,1
2523,list all results where the voting district is maryland 7.,0,1
2524,what are all the results where robert bauman is the incumbent politician,0,1
2525,who were the candidates in the district won by the incumbent del latta,0,1
2526,who were the candidates in the districts that was first elected in 1966,0,1
2527,who was running for office in the california 10 district,0,1
2528,how many parties won the election in the california 23 district,3,1
2529,what republican candidate was first elected most recently,1,1
2530,phillip landrum was first elected in 1952 from the ninth district of georgia.,0,1
2531,what party did the incumbent from the illinois 12 district belong to,0,1
2532,who was the democratic incumbent in the illinois 11 district who was re-elected,0,3
2533,which incumbent was first elected in 1964,0,1
2534,what party did the incumbent from the illinois 1 district belong to,0,1
2535,what candidates ran in the election with don fuqua,0,1
2536,how many incumbent candidates in the election featuring sam m. gibbons (d) unopposed,3,1
2537,what is the last year that someone is first elected,1,0
2538,who was the incumbent in 1940,0,1
2539,what is the party when the incumbent is sidney r. yates,0,1
2540,what was the year first elected for district illinois 7,1,1
2541,how many times was the candidates phil crane (r) 58.0% edward a. warman (d) 42.0%,3,1
2542,how many times was it the district illinois 18,3,1
2543,who were the candidates when the incumbent was ed derwinski,0,1
2544,when was the first elected when the party was republican and the candidate were robert h. michel (r) 66.1% rosa lee fox (d) 33.9%,2,2
2545,who is the incumbent in district texas 15,0,1
2546,which district elected incumbent earle cabell,0,1
2547,what was the result when ray roberts was elected,0,1
2548,what is the highest year that a candidate was first elected,1,0
2549,incumbent bill harsha was the winner in an election in which the candidates were who,0,1
2550,what was the party of the first elected candidate in 1954,0,1
2551,how many districts does donald d. clancy represent,3,1
2552,which party is lawrence h. fountain part of,0,1
2553,who was the first person elected in north carolina 8,0,1
2554,who was the candidate elected to the democratic party in 1952,0,2
2555,what district did joe waggonner belong to,0,1
2556,what is the name of the incumbent who was first eleccted in 1940,0,1
2557,what party does incumbent edwin reinecke represent,0,1
2558,who were the candidates in the election that featured incumbent don edwards,0,1
2559,who's the incumbent of indiana 4 district,0,1
2560,who's the incumbent of the district with first election held in 1950,0,1
2561,who was featured in the election of charles edward bennett redistricted from 2nd,0,1
2562,name the first elected for the republican party,0,1
2563,name the district with philip philbin,0,1
2564,name the party with edward boland,0,1
2565,what was the district who had their first elected in 1966,0,1
2566,who was the candidate when the incumbent was richard c. white,0,1
2567,what district did donald ray matthews belong to,0,1
2568,what party did don fuqua belong to,0,1
2569,how many parties won the election in the louisiana 5 district,3,1
2570,how many candidates were elected in the louisiana 4 district,3,1
2571,who was the winner in the louisiana 7 district,0,1
2572,what's party with district being tennessee 3,0,1
2573,how many party with district being tennessee 1,3,1
2574,what's party with district  being tennessee 3,0,1
2575,how many incumbent with district  being tennessee 5,3,1
2576,what's incumbent with district being tennessee 5,0,1
2577,who ran in the race for jack brooks' seat,0,1
2578,which section did seymour halpern run in,0,1
2579,what district is incumbent albert w. johnson from,0,1
2580,how many times was frank m. clark the incumbent,3,1
2581,what district is incumbent elmer j. holland from,0,1
2582,to which party does frank t. bow belong,0,1
2583,who ran in the race for the seat of incumbent carl w. rich,0,1
2584,in which district is the incumbent carl w. rich,0,1
2585,name the candidates where incumbent carl vinson is,0,1
2586,name the candidates for massachusetts 8,0,1
2587,what candidates were in the election when a republican was re-elected,0,2
2588,what district is incumbent frank chelf from,0,1
2589,how many districts represented edwin e. willis,3,1
2590,who were all the candidates when the first elected year was 1961,0,1
2591,what party did hale boggs belong to,0,1
2592,what is the political affiliation of the texas 12 district,0,1
2593,how many voted in the texas 6 section,0,1
2594,what is the political affiliation of ray roberts,0,1
2595,what district featured an election between  james a. byrne (d) 59.3% joseph r. burns (r) 40.7%,0,1
2596,name the candidates for massachusetts 6,0,1
2597,name the result for massachusetts 3,0,1
2598,name the candidate first elected in 1942,0,1
2599,name the party for massachusetts 3,0,1
2600,what district is incumbent albert rains from,0,1
2601,how many candidates represent the district of kenneth a. roberts,3,1
2602,who was the incumbent in the arkansas 2 district election,0,1
2603,when was dale alford first elected in the arkansas 5 district,0,1
2604,when was james william trimble first elected in the arkansas 3 district,2,1
2605,when party did the incumbent in the arkansas 5 district belong to,0,1
2606,what was the result in the arkansas 5 district election,0,1
2607,what party did the incumbent in the arkansas 2 district belong to,0,1
2608,how many candidates were there in the election for william jennings bryan dorn's seat,3,1
2609,what is the earliest year that a candidate was first elected,2,0
2610,what was the result of the election in which lindley beckworth was the incumbent,0,1
2611,which incumbent was first elected in 1936,0,1
2612,what was the result of the election in which walter e. rogers was the incumbent,0,1
2613,when was paul rogers first elected,0,1
2614,which district is james a. haley from,0,1
2615,what year were the latest elections,1,0
2616,in what district is the incumbent john bell williams,0,1
2617,in what year was john bell williams first elected,0,1
2618,how many districts have w. arthur winstead as elected official,3,1
2619,what is the district for carl vinson,0,1
2620,what is the most first elected for james c. davis,1,1
2621,what is the first elected for georgia 4,0,1
2622,which affiliation does edwin e. willis affiliate with,0,1
2623,which affiliation is james h. morrison part of,0,1
2624,who is the candidate that was first elected in 1914,0,1
2625,in which district is the incumbent carl vinson,0,1
2626,name the candidates for l. mendel rivers,3,1
2627,name the result for south carolina 4,0,1
2628,name the candidates for south carolina 3,0,1
2629,name the incumbent for first elected 1956,0,1
2630,name the number of party with the incubent james william trimble,3,1
2631,what is the result for first elected in 1944,0,1
2632,what is the number of party in the arkansas 1 district,3,1
2633,who is the incumbent in the alabama 6 voting district,0,1
2634,which candidates were in the election where frank w. boykin was an incumbent,0,1
2635,who were the candidates in the election where the incumbent is george m. grant,0,1
2636,which candidates ran in the alabama 6 district,0,1
2637,what is the latest year listed with the alabama 4 voting district,1,1
2638,what was the result when incumbent fred e. busbey was elected,0,1
2639,how many results are listed for the election where noah m. mason was elected,3,1
2640,what was the result when leo e. allen was elected,0,1
2641,which party had a person who has been in the seat since 1914,0,1
2642,"name all the candidates listed in the race where the incumbent is prince hulon preston, jr.",0,1
2643,how many candidates ran in the race where the incumbent is j. l. pilcher,3,1
2644,john w. heselton was first elected in what year,1,1
2645,thomas j. lane is the incumbent of how many parties,3,1
2646,who is the incumbent first elected in 1944,0,1
2647,what was the result for the politician first elected in 1942,0,1
2648,what's the result for district ohio 2,0,1
2649,who is the the incumbent with candidates being john m. vorys (r) 61.5% jacob f. myers (d) 38.5%,0,1
2650,who is the the incumbent with district being ohio 2,0,1
2651,what's the result with incumbent being william h. ayres,0,1
2652,how many party with candidates being john m. vorys (r) 61.5% jacob f. myers (d) 38.5%,3,1
2653,what district is brooks hays in,0,1
2654,omar burleson was the incumbent in what district,0,1
2655,in what district was incumbent first elected in 1938,0,1
2656,name the party for the pennsylvania 25,0,1
2657,name the minumim first elected for alvin bush,2,1
2658,what is the incumbent for pennsylvania 15,0,1
2659,what are the candidates for noah m. mason,3,1
2660,what is the candidates for fred e. busbey,0,1
2661,what is the incumbent for 1932,0,1
2662,how many first elected with incumbent being charles edward bennett,3,1
2663,who is the the incumbent with dbeingtrict being florida 2,0,1
2664,what's the result with candidates being charles edward bennett (d) unopposed,0,1
2665,what's the result with dbeingtrict being florida 4,0,1
2666,how many party with candidates being charles edward bennett (d) unopposed,3,1
2667,how many first elected with incumbent being william c. lantaff,3,1
2668,what was the result of the election when tic forrester ran as an incumbent,0,1
2669,what was the final result for craig hosmer,0,1
2670,what district does harlan hagen represent,0,1
2671,who was the candidate in the election in the louisiana 2 district,0,1
2672,what candidate was re-elected in the louisiana 5 district,0,2
2673,what party's candidate was re-elected in the louisiana 6 district,0,2
2674,what was the result in the election where hale boggs was the incumbent,0,1
2675,"what is the channel width that overlaps channels 1,3-6",0,1
2676,name the result for mississippi 2,0,1
2677,name the number of candidates for 1941,3,1
2678,name the candidates for result of lost renomination democratic loss,0,1
2679,name the result for first elected of 1920,0,1
2680,in the district tennessee 7 what is the number of first elected,1,1
2681,what is the candidates  result that is tom j. murray (d) unopposed,0,1
2682,for the republican party what are the names of the incumbents,0,1
2683,"how many parties match the canididates listed as howard baker, sr. (r) 68.9% boyd w. cox (d) 31.1%",3,1
2684,which district had paul b. dague as the incumbent,0,1
2685,what was the result in the election where the incumbent was first elected in 1942,0,1
2686,what was the result of the election in the texas 3 district,0,1
2687,what party did incumbent wright patman belong to,0,1
2688,what was the result of the election in the texas 4 district,0,1
2689,what party did the re-elected incumbent of the texas 11 district belong to,0,2
2690,list all those first elected in the california 22 voting district.,0,1
2691,who was the first elected incumbent in the 1946 election,0,1
2692,how many results does the california 29 voting district have,3,1
2693,which party had clair engle as an incumbent,0,1
2694,what party does sid simpson represent,0,1
2695,how many candidates ran against barratt o'hara,3,1
2696,what year was incumbent barratt o'hara first elected,0,1
2697,how many results for minimum first elected incumbent noble jones gregory,2,1
2698,how many results for incumbent noble jones gregory,3,1
2699,who is the candidate wehre district is louisiana 1,0,1
2700,what is the party where the incumbent is overton brooks,0,1
2701,who athe party where district is louisiana 2,0,1
2702,who is the candidate where district is louisiana 3,0,1
2703,what is the minimum number first elected to district louisiana 5,2,1
2704,what was the result when incumbent tom steed was elected,0,1
2705,what was the candidates for hardie scott,0,1
2706,what is the number of candidates for pennsylvania 3,3,1
2707,what is the number of candidates for pennsylvania 21,3,1
2708,what is the party for first elected 1948 for william t. granahan,0,2
2709,how many candidates were there in the race where cecil r. king is the incumbent,3,1
2710,how many districts have an incumbent first elected in 1944,3,1
2711,who was the incumbent in the illinois 17 district,0,1
2712,how many people on this list are named thomas abernethy,3,1
2713,how many times was w. arthur winstead first elected,3,1
2714,how many times was william m. colmer winstead first elected,3,1
2715,what was the result of the election with jamie l. whitten,0,1
2716,what candidate was re-elected and was first elected in 1942,0,2
2717,who are the candidates in the election in the ohio 9 district,0,1
2718,what year was incumbent michael a. feighan first elected,2,1
2719,what party does the incumbent from the ohio 5 district belong to,0,1
2720,what party does the incumbent from the ohio 20 district belong to,0,1
2721,what party does the incumbent from the ohio 7 district belong to,0,1
2722,who is the candidate for the district arkansas 2,0,1
2723,which district has the incumbent wilbur mills and a re-elected result,0,2
2724,what year was first-elected for the row of texas 2,0,1
2725,what was the result for the incumbent milton h. west,0,1
2726,what party is associated with texas 2,0,1
2727,"when the result is retired to run for u.s. senate democratic hold, who is the candidate",0,1
2728,what candidate has a result of being re-elected in the texas 7 district,0,2
2729,which party is associated with the candidate albert sidney camp (d) unopposed,3,1
2730,which district is associated with the incumbent carl vinson,0,1
2731,which candidates are associated with the georgia 7 district,0,1
2732,what candidate is associated with the georgia 4 district,0,1
2733,what year was incumbent joe b. bates first elected,0,1
2734,what party is incumbent virgil chapman from,0,1
2735,what year was clair engle first elected,0,1
2736,what is the result of the first elected is 1943,0,1
2737,what the the end number where albert rains was running,3,1
2738,what the was the final in which frank w. boykin was running,0,1
2739,name the total number of first elected for sol bloom,3,1
2740,name the candidates for ellsworth b. buck,0,1
2741,what are the candidates for new york 35,0,1
2742,what is the party for new york 20,0,1
2743,what was the result of the election featuring r. ewing thomason (d) unopposed,0,1
2744,what district is eugene worley from,0,1
2745,how many result with candidates being richard j. welch (r) unopposed,3,1
2746,what's the result with incumbent being jack z. anderson,0,1
2747,what's the district with result being re-elected and candidates being clarence f. lea (d) unopposed,0,2
2748,what's the first elected with incumbent being clair engle,0,1
2749,who is the the candidates with incumbent being alfred j. elliott,0,1
2750,who is the the incumbent with candidates being jack z. anderson (r) unopposed,0,1
2751,how many parties does incumbent carl vinson represent,3,1
2752,how many parties does incumbent stephen pace represent,3,1
2753,who were the candidates when noah m. mason was incumbent,0,1
2754,in what year was leo e. allen first elected,0,1
2755,who were the candidates when sid simpson was the incumbent,0,1
2756,what was the result of robert l. f. sikes' election bid,0,1
2757,how many districts have an incumbent first elected in 1940,3,1
2758,how many races involve incumbent pat cannon,3,1
2759,which incumbent was first elected in 1940,0,1
2760,what is the first electedfor district ohio 18,0,1
2761,what is the incumbent for ohio 12,0,1
2762,who are all of the candidates in the election featuring james r. domengeaux,0,1
2763,name all the candidates that ran for the seat where harold d. cooley is the incumbent,0,1
2764,how many partys have a candidate first elected in 1923,3,1
2765,what was the number of candidates when leon sacks was incumbent,3,1
2766,what was the result in pennsylvania 13,0,1
2767,who was the incumbent in pennsylvania 27,0,1
2768,who are the contenders in the new york 19 polling area race,0,1
2769,how many polling areas are there with john taber as the sitting representative,3,1
2770,who are the contenders in the new york 29 polling area race,0,1
2771,which political party is involved where john j. delaney is the sitting representative,0,1
2772,who is the sitting representative in the new york 10 polling area race,0,1
2773,how many sitting representatives are there in the new york 10 polling area,3,1
2774,what is the district for james p. richards,0,1
2775,what is the candidate for south carolina 4,0,1
2776,what is the candidate for south carolina 3,0,1
2777,what is the first elected for south carolina 4,0,1
2778,how many candidates were in the election featuring brooks hays (d) unopposed,3,1
2779,what party does clyde t. ellis represent,0,1
2780,how many party with candidates being john j. phillips (r) 57.6% n. e. west (d) 42.4%,3,1
2781,what's the result with dbeingtrict being california 10,0,1
2782,what's the party with first elected being 1926,0,1
2783,what's the incumbent with result being new seat republican gain,0,1
2784,what was the maxiumum for the first elected,1,0
2785,what's the first elected with incumbent being joe starnes,0,1
2786,what's the first elected with candidates being joe starnes (d) 100.0% george bogus ( w/i ) 0.003%,0,1
2787,how many party with dbeingtrict being alabama 6,3,1
2788,what are all the district with incumbent being sam hobbs,0,1
2789,what are all the result with district being alabama 1,0,1
2790,what is the maximum first elected with district being alabama 5,1,1
2791,what was the result in the tennessee 6 district election,0,1
2792,in how many districts was the incumbent estes kefauver,3,1
2793,what is the latest year any of the incumbents were first elected,1,0
2794,what was the result of the tennessee 2 district election,0,1
2795,what district is incumbent robert l. mouton from,0,1
2796,william fadjo cravens is the only candidate who was first elected in 1939.,3,1
2797,william fadjo cravens serves the fourth district of arkansas.,0,1
2798,what's the party with district being alabama 3,0,1
2799,what's the incumbent with candidates being sam hobbs (d) 88.2% c. w. mckay (r) 11.8%,0,1
2800,what's the party with incumbent being john sparkman,0,1
2801,how many dbeingtrict with candidates being william b. bankhead (d) 71.3% e. m. reed (r) 28.7%,3,1
2802,what's the party with incumbent being william b. bankhead,0,1
2803,what's the district  with first elected being 1938,0,1
2804,how many incumbents were first elected in 1930,3,1
2805,"in how many districts is the incumbent dave e. satterfield, jr.",3,1
2806,what was the election result for the candidate first elected in 1918,0,1
2807,how many parties does william b. cravens represent,3,1
2808,what district had someone first elected in 1932,0,1
2809,what candidates ran in the election when the incumbent was william j. driver,0,1
2810,who are all the candidates when sam rayburn was incumbent,0,1
2811,what was the party that was frist elected in 1919,0,1
2812,when was incumbent leo e. allen first elected,2,1
2813,which district has a republican elected,0,1
2814,how many districts does riley joseph wilson,3,1
2815,how many districts for rené l. derouen,3,1
2816,who are the candidates in the race where wright patman is the incumbent,0,1
2817,what candidates ran in the election when john s. wood was the incumbent,0,1
2818,what was the result of the election held in 1914,0,1
2819,how many first elections have claude fuller as incumbent,3,1
2820,how many winners were there in the georgia 1 district,3,1
2821,who ran for office at the georgia 4 district in this election,0,1
2822,what district has riley joseph wilson as the incumbent,0,1
2823,what candidate is in louisiana 6,0,1
2824,what happened during the election for richard m. kleberg,0,1
2825,what year was the first election when fritz g. lanham was elected,1,1
2826,what is the name of the candidate where the incumbent is named james p. buchanan,0,1
2827,what party is incumbent oliver h. cross,0,1
2828,what's the district with incumbent being william j. driver,0,1
2829,what's the district with incumbent being john e. miller,0,1
2830,how many incumbent with first elected being 1932,3,1
2831,who is the the incumbent with dbeingtrict being arkansas 1,0,1
2832,how many district  with incumbent being david delano glover,3,1
2833,who is the the incumbent with candidates being ben cravens (d) unopposed,0,1
2834,what was the result in the election in which the incumbent was denver s. church,0,1
2835,what was the result in the election in which ralph r. eltse was the incumbent,0,1
2836,who was the candidate in the election in the california 8 district where the incumbent was first elected in 1932,0,2
2837,what are all the party with district being kansas 1,0,1
2838,what's the result with district being kansas 1,0,1
2839,who are the candidates with district being kansas 4,0,1
2840,what's the result with first elected being 1922,0,1
2841,who is the the candidates with dbeingtrict being kansas 5,0,1
2842,how many first elected with district is kansas 3,3,1
2843,what was the result of the election in the arkansas 2 district,0,1
2844,what was the result of the election in the arkansas 4 district,0,1
2845,how many candidates ran in the election in the arkansas 4 district,3,1
2846,how many districts does william b. oliver represent,3,1
2847,what is the last year that someone is first elected,1,0
2848,how many people were elected in 1929,3,1
2849,how many people won in 1914,3,1
2850,who won in 1927,0,1
2851,name the number of incumbents for texas 12,3,1
2852,how many parties were represented for charles r. crisp,3,1
2853,in what district was the representative first elected in 1916,0,1
2854,who were the candidates in the 1922 entry,0,1
2855,in which district is james o'connor the incumbent,0,1
2856,to which party does riley joseph wilson belong,0,1
2857,how many of the first elected were listed when hatton w. sumners was incumbent and re-elected,3,2
2858,what was the result in the election where the incumbent was finis j. garrett,0,1
2859,in what district was the incumbent cordell hull,0,1
2860,who were the candidates in the election in the tennessee 9 district,0,1
2861,what was the result of the election featuring james a. gallivan (d) unopposed,0,1
2862,how many districts does john j. douglass represent,3,1
2863,how many areas were in the election in 1912,3,1
2864,what is the affiliation of charles h. brand,0,1
2865,what candidates ran in the election that featured harry lane englebright,0,1
2866,when was incumbent william b. oliver first elected,1,1
2867,who is the the incumbent with candidates being percy e. quin (d) unopposed,0,1
2868,what's the district with candidates being john e. rankin (d) unopposed,0,1
2869,who is the the candidates with district being mississippi 4,0,1
2870,who is  the incumbent for district mississippi 4,0,1
2871,what's the result with incumbent being bill g. lowrey,0,1
2872,what's the district  with candidates being william madison whittington (d) unopposed,0,1
2873,what was the last year that incumbent joseph t. deal was first elected,1,1
2874,what year was someone first elected,2,0
2875,what district does edward everett eslick represent,0,1
2876,how many times was incumbent cordell hull first elected,3,1
2877,"how many times was the election joseph w. byrns, sr. (d) unopposed",3,1
2878,what is the least first elected for jeff busby,2,1
2879,what was the party for first elected 1923,0,1
2880,name the total number of result for mississippi 4,3,1
2881,what is the section where gordon lee ran,0,1
2882,what section did frank park run in,0,1
2883,who won in the race in the section georgia 5,0,1
2884,how many candidates won the election of john n. sandlin,3,1
2885,who was the incumbent in the election of henry garland dupré (d) unopposed,0,1
2886,what was the result when incumbent john r. tyson was elected,0,1
2887,name the result for william j. driver,0,1
2888,name the district for william j. driver,0,1
2889,name the lowest first elected for chester w. taylor,2,1
2890,who were the candidates when henry garland dupré was incumbent,0,1
2891,how many candidates were there when henry garland dupré was the incumbent,3,1
2892,what district did james o'connor belong to,0,1
2893,"when did the episode titled ""winterland"" air for the first time",0,1
2894,how many different original air dates did the episode number 6 have,3,1
2895,who wrote the episode with production code 1anj01,0,1
2896,what are the locations with a panthers mascot,0,1
2897,what are the locations with an eagles macot,0,1
2898,how many teams have an eagles mascot,3,1
2899,how many teams have the titans as a mascot,3,1
2900,what year was north college hill high school founded,1,1
2901,who was the incumbent when ran william b. oliver (d) unopposed,0,1
2902,which party was the incumbent from when the cadidates were henry e. barbour (r) 52.1% henry hawson (d) 47.9%  answer: democratic,3,1
2903,which district was the race between john i. nolan (r) 87% thomas f. feeley (s) 13%,0,1
2904,what was the net seat gain in the race john a. elston (r) 88.4% luella twining (s) 11.6%,0,1
2905,which district was the incumbent julius kahn from  answer:  california 4th district,3,1
2906,what was the result of the election when clarence f. lea was the incumbent,0,1
2907,which team played in game 20,0,1
2908,what's the height (ft) with name being leadenhall building,0,1
2909,what's the height (ft) with name being 52-54 lime street,0,1
2910,how many city with name being providence tower,3,1
2911,what station has the call number k213cl,0,1
2912,what market is wessington springs in,0,1
2913,what station owns moody bible institute,0,1
2914,how many date with score being w 113–87,3,1
2915,what's the game with record being 29–3,0,1
2916,who is the the high rebounds with high assbeingts being scottie pippen (9),0,1
2917,who is the the high points with score being w 117–93,0,1
2918,what's the record with date being january 13,0,1
2919,what are all the record where date is january 21,0,1
2920,what is the name of rapid city's adult contemporary station,0,2
2921,what are the market city/market(s) for rapid city alternative format,0,2
2922,what is the frequency for the christian kawz-fm translator station,0,1
2923,what is the target market for the station on 97.9 fm,0,1
2924,what is the frequency of the classic country krki-fm booster station,0,1
2925,what is the target market of the station with call sign kfxs,0,1
2926,what year did the season finale have a total of 10.29 million viewers,0,1
2927,in what tv season did the 3rd season air,0,1
2928,how many rankings did the 5th season have,3,1
2929,how many times did the 2nd season have a finale,3,1
2930,"how many county with per capita income being $20,101",3,1
2931,"who is the the place with per capita income being $14,793",0,1
2932,"what's the number of households with per capita income being $16,820",0,1
2933,"what is the maximum rank with per capita income being $17,013",1,1
2934,how old is darryll holland's horse,0,1
2935,how many people work with n rawiller,3,1
2936,how old is daniel morton,1,1
2937,how many serial branches have radio electrial = rea-iv,3,1
2938,what are radio electricals when secretariat is wtr i,0,1
2939,what are electricals where secretariat is po(w),0,1
2940,what mechanical has lpm regulation,0,1
2941,how many branches have radio electrical=hon s lt(r),3,1
2942,who regulates radio electrical = lren,0,1
2943,"what number episode in the series is the episode ""things that fly""",1,1
2944,what is the production code for season episode 8,2,1
2945,how many episodes have a series number of 35,3,1
2946,what is the series number for season episode 24,2,1
2947,how many have times of 6,3,1
2948,which brand have drivers who won with the names of ryan briscoe and tomas scheckter,0,2
2949,who else along with scott dixon and graham rahal drove with the most speed,0,2
2950,tell the number of times where kansas was the location,3,1
2951,what tv channel had a license from boston,0,1
2952,"which station has a license in fort collins, colorado",0,1
2953,what is the current status of the kdaf ** station,0,1
2954,"how many entries are listed under ""current status"" for the wjw-tv ++ station",3,1
2955,how many stations have fox as the primary affiliation and have been owned since 1986,3,2
2956,what channel has station kdfw ++,0,1
2957,what city has channel tv (dt) 25 (31),0,1
2958,"how many channel tv (dt)s are in austin, texas",3,1
2959,when was 10 (10) bought,0,1
2960,who were the umpires when paul medhurst (c) won the simpson medal,0,1
2961,who were the umpires when paul vines (s) won the simpson medal,0,1
2962,which venue did luke blackwell serve as captain,0,1
2963,what's the minimum 180s value,2,0
2964,what's the sets won with 140+ being 16,0,1
2965,what channel number is gladiators on,0,1
2966,what show is coming back on in july 2008,0,1
2967,who are the mens doubles and womens singles is wang shixian,0,1
2968,who is the mens singles and womens singlses is wang shixian,0,1
2969,who are the mens doubles and and mens singles is lee hyun-il,0,1
2970,who are the mens singles and womens singles with sun yu,0,1
2971,what is the highest number where people got done at 31.1,1,1
2972,who danced 11 and finished at more than a 2.0,0,2
2973,tell the competitions where the mean is 1,0,1
2974,tell the mean of the times competition for the 7 jigs,0,1
2975,how many turns were completed to make a mean of 34.0,3,1
2976,what is the gender of the junior high school is 24mm,0,1
2977,what amount of the university students and adults ehre the the senior high school is 26mm,0,1
2978,what amount of senior high school where junior high school is 114cm,0,1
2979,what is the specification where senior high school is 25mm,0,1
2980,what amount is the junior high school where the gender is male and the specification is minimum diameter of sakigawa,0,2
2981,what is the gender of senior high school 26mm,0,1
2982,what was the score of the game when the team was 1-2,0,1
2983,who had the high assists against charlotte,0,1
2984,how many leading scorers were there in the game against utah,3,1
2985,how many location attendance with team being charlotte,3,1
2986,what's the game with date being march 7,0,1
2987,what's the date with game being 72,0,1
2988,how many high assbeingts with score being l 90–98 (ot),3,1
2989,who is the the high rebounds with team being vancouver,0,1
2990,how many pairs of numbers are under record on april 12,3,1
2991,name total number of won for tries for 92,3,1
2992,name the club when tries for is 83,0,1
2993,name the try bonus for kenfig hill rfc,0,1
2994,name the tries against for played 22 and points against of 183,0,2
2995,name the total number of points for when try bonus is 10,3,1
2996,name the number of won for maesteg harlequins rfc,3,1
2997,what amount had all played that lost were 8,0,1
2998,what is the name of the club where drawn is 1 and lost is 10,0,2
2999,what are the tries where the game was lost by 4,0,1
3000,what amount of try bonus where the game was won by 11,3,1
3001,what is the total amount of tries where the points were 325,3,1
3002,what is the name of the column points against,0,1
3003,how many points for when the points was 53,0,1
3004,what is the played total when the points against was 321,0,1
3005,how many tries for when the points against was 547,0,1
3006,how many total games drawn for club tylorstown rfc,0,1
3007,how many communities had a total renewable generation of 1375,3,1
3008,what is the total demand for electricity when the demand for renewable electricity demand is 2.2%,0,1
3009,what is the lowest numbered hydroelectric power when the renewable electricity demand is 21.5%,2,1
3010,what is the community with a wind power of 1042,0,1
